AccountNumber,MPIN,SecurityQuestion1,SecurityAnswer1
ACC107406,667788,"What is your hometown?",Kolkata
ACC100084,234567,"What is your favourite season?",Spring
ACC100055,567890,"What is your favourite dish?",Biryani
ACC100096,789012,"What is your favourite dish?",Biryani
ACC122011,123456,"What is your mother?s middle name?",Verma
ACC100028,901234,"What is your favorite hobby?",Photography
ACC100070,456789,"What is your favourite movie?",Inception
ACC100059,901234,"What is your favourite dish?",Sushi
ACC100093,456789,"What is your favourite food?",Pizza
ACC100077,345678,"What is your favourite food?",Sushi
ACC100040,678901,"What is your favourite season?",Summer
ACC100023,456789,"What is your favourite food?",Pasta
ACC100016,789012,"What is your favourite book?","The Alchemist"
ACC100003,112233,"What is your pet?s name?",Tommy
ACC100051,123456,"What is your favourite dish?",Pasta
ACC100063,567890,"What is your favourite dish?",Pasta
ACC100032,567890,"What is your favourite season?",Winter
ACC100006,789012,"What is your favourite hobby?",Reading
ACC100089,890123,"What is your favourite food?",Biryani
ACC100073,789012,"What is your favourite food?",Biryani
ACC100081,789012,"What is your favourite food?",Pizza
ACC100108,123456,"What is your favorite song?",Bank
ACC100109,852852,"What is your favorite book?","Wings of Fire"
ACC100090,901234,"What is your favourite movie?","The Dark Knight"
ACC100082,890123,"What is your favourite movie?","The Shawshank Redemption"
ACC100085,345678,"What is your favourite food?",Biryani
ACC100009,234567,"What is your favourite fruit?",Mango
ACC101100,345678,"What is your favourite food?",Biryani
ACC100095,678901,"What is your favourite season?",Spring
ACC100041,789012,"What is your favourite food?",Biryani
ACC100076,234567,"What is your favourite season?",Summer
ACC100060,234567,"What is your favourite season?",Spring
ACC100069,345678,"What is your favourite food?",Pizza
ACC100052,234567,"What is your favourite season?",Summer
ACC100033,678901,"What is your favourite food?",Biryani
ACC100048,678901,"What is your favourite season?",Winter
ACC100057,789012,"What is your favourite food?",Pizza
ACC100015,678901,"What is your favourite food?",Sushi
ACC100064,678901,"What is your favourite season?",Summer
ACC100074,890123,"What is your favourite movie?","The Shawshank Redemption"
ACC100E19,112244,"What is your favourite ice cream flavour?",Vanilla
ACC100008,112244,"What is your favourite ice cream flavour?",Vanilla
ACC10BA18,112244,"What is your favourite ice cream flavour?",Vanilla
ACC100021,234567,"What is your favourite movie?",Avatar
ACC100106,125212,"What city were you born in?",Nagpur
ACC100110,124545,"What is your favorite food?",Maggie
ACC100025,678901,"What is your favourite dish?",Dosa
ACC107007,889900,"What was your first car?",Maruti
ACC100007,889900,"What was your first car?",Maruti
ACC100817,889900,"What was your first car?",Maruti
ACC101011,901234,"What is your favourite dessert?","Ice Cream"
ACC100026,789012,"What is your favourite book?","The Great Gatsby"
ACC109017,890123,"What is your favourite hobby?",Dancing
ACC121011,345678,"What is your favourite place?",Beach
ACC100039,567890,"What is your favourite dish?",Pizza
ACC100053,345678,"What is your favourite food?",Sushi
ACC100002,654321,"What is your favourite food?",Biryani
ACC10AA18,901234,"What is your favourite sport?",Cricket
ACC100001,123456,"What is your mother?s middle name?",Verma
ACC100107,124564,"What is your favorite song?",Bank
ACC100100,998877,"What is your favourite festival?",Diwali
ACC121100,998877,"What is your favourite festival?",Diwali
ACC100068,234567,"What is your favourite season?",Winter
ACC100083,901234,"What is your favourite dish?",Sushi
ACC100075,901234,"What is your favourite dish?",Pasta
ACC100047,567890,"What is your favourite dish?",Pizza
ACC100094,567890,"What is your favourite movie?",Inception
ACC100062,456789,"What is your favourite movie?",Inception
ACC100030,345678,"What is your favourite dish?",Pasta
ACC100022,345678,"What is your favourite season?",Spring
ACC122311,345678,"What is your favourite dessert?",Cheesecake
ACC100054,456789,"What is your favourite movie?","The Shawshank Redemption"
ACC100087,678901,"What is your favourite dish?",Pasta
ACC100034,789012,"What is your favourite movie?",Titanic
ACC100042,890123,"What is your favourite movie?",Inception
ACC100098,901234,"What is your favourite dish?",Pasta
ACC100024,567890,"What is your favourite movie?","The Shawshank Redemption"
ACC100050,890123,"What is your favourite movie?",Inception
ACC100038,456789,"What is your favourite movie?","The Godfather"
ACC100071,567890,"What is your favourite dish?",Sushi
ACC100065,789012,"What is your favourite food?",Sushi
ACC100078,456789,"What is your favourite movie?",Inception
ACC108017,890123,"What is your favourite sport?",Football
ACC100058,890123,"What is your favourite movie?",Avatar
ACC100091,234567,"What is your favourite dish?",Sushi
ACC100027,890123,"What is your favorite season?",Autumn
ACC100049,789012,"What is your favourite food?",Biryani
ACC100105,141414,"What is your favourite hobby?",chess
ACC100072,678901,"What is your favourite season?",Spring
ACC100013,456789,"What is your favourite movie?","The Dark Knight"
ACC100043,901234,"What is your favourite dish?",Pasta
ACC100035,890123,"What is your favourite dish?",Pasta
ACC100061,345678,"What is your favourite food?",Biryani
ACC100097,890123,"What is your favourite movie?","The Shawshank Redemption"
ACC100080,678901,"What is your favourite season?",Winter
ACC100088,789012,"What is your favourite season?",Summer
ACC100019,012345,"What is your favourite fruit?",Apple
ACC100004,334455,"What is your favourite book?","Pride and Prejudice"
ACC100092,345678,"What is your favourite season?",Winter
ACC100029,234567,"What is your favorite fruit?",Banana
ACC100056,678901,"What is your favourite season?",Winter
ACC100099,234567,"What is your favourite season?",Summer
ACC100079,567890,"What is your favourite dish?",Biryani
ACC100086,456789,"What is your favourite movie?",Inception
ACC100014,567890,"What is your favourite season?",Winter
ACC100020,123456,"What is your favourite dish?",Biryani
ACC100045,345678,"What is your favourite food?",Sushi
ACC102205,556677,"What is your favourite movie?","3 Idiots"
ACC100005,556677,"What is your favourite movie?","3 Idiots"
ACC100031,456789,"What is your favourite movie?",Inception
